Feature,SubFeature,Test Case(s),Notes
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",CSV (Basic import + cases between 13-23 whichever applicable),"CSV User Story
TXT ticket"
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",XLS/XLSX (Basic import + cases between 13-23 whichever applicable),Shares same import logic as CSV
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",SDF (Basic import + cases between 13-23 whichever applicable),
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",MAE/MAE.GZ/MAEGZ (Basic import + cases between 13-23 whichever applicable),
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",One inaccurate compound should allow other compounds to get added,
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",CSV files containing R groups should get imported ,
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",All other formats import throws Invalid file type error dialog,"SS-12807: Invalid file type. Must be sdf, csv (.csv or .txt), Excel (.xls or .xlsx) or Maestro (.mae, .mae.gz or .maegz)."
File Import,Match Compounds By option,Only available when importing CSV/XLS file,
File Import,Match Compounds By option,"Identifier column dropdown
- should work with only ID/SMILES data columns
- should not work with any other data columns",SS-34107
File Import,Match Compounds By option,ID,
File Import,Match Compounds By option,SMILES,
File Import,Properties to Import,Compounds only,
File Import,Properties to Import,Columns only,"SS-26351
Columns data gets imported only if structures/ID in the importing file exists/matches with the ones present in the LR"
File Import,Properties to Import,Both Compounds & Columns,
File Import,Different cases relating to different file format imports,File Imported columns should not show up in D&C Tree,
File Import,Different cases relating to different file format imports,"Deduplication of identical rows:
- Compounds
- For duplicate rows, column data on both rows should be added against the single compound in the LR",
File Import,Different cases relating to different file format imports,Importing a file and adding some compounds to the same file and trying to import them should not throw an error.,SS-32601
File Import,Different cases relating to different file format imports,Real Compounds,
File Import,Different cases relating to different file format imports,"Virtual Compounds: 
- New compounds not existing in LD registers as virtuals upon import
- If exists in LD, displays it in LR",
File Import,Different cases relating to different file format imports,R-Group - Not supported through MAE,Check this ticket comment for details
File Import,Different cases relating to different file format imports,Generic Entity,LDIDEAS-5575
File Import,Different cases relating to different file format imports,Biologics,
File Import,Different cases relating to different file format imports,Compounds with S-Groups,SS-25821
File Import,Different cases relating to different file format imports,Import CSV with mutiple assay values for single compound,"CSV values when exported in this case will have semi-colon in between the multiple assay values present in intracell alignment. So current behavior when importing CSV showing semicolon is expected.

SS-30136

This ticket has mentioned that during CSV import multiple values like 'abc;def;ghi' won't be added into new seperate lines as they are many edge cases. Marked as ""Won't do"""
File Import,Different cases relating to different file format imports,Import CSV with assay data with operators included,"As eu.user, assay data with operators doesn't display ',' as decimal seperator in some cases.
SS-33326"
File Import,Partial ID based import,"Importing a CSV/XLS file with both IDs existing and not existing in LD DB should import only structures with existing IDs into LR and skip non-exisitng IDs but display those IDs in the dialog

- Check for new error message displayed on the Import Feedback dialog
- Proper error bacon bar on top","SS-40992
SS-40999"
File Import,File Import Receipt,Successful Import Receipt: ‘Import Completed’ message on bacon bar (Yellow),"File Import Receipt Overview: Lucid Chart

SS-37890"
File Import,File Import Receipt,Successful Import Receipt: Bacon bar should disappear after few seconds,
File Import,File Import Receipt,Failed Import Receipt: ‘Errors with file import 'Click to view import errors’ X’ message on Bacon bar (Red),"Message changed from ""File Import Failed"" to ""Errors with file import"""
File Import,File Import Receipt,Failed Import Receipt: Bacon bar should not disappear until user clicks on the ‘X’ icon,
