LD 2026-1 Pass 3 (StartDate: 27/Jan/2025) Build(#),MS Edge Status,FireFox Status,Chrome Status,,Blocker/Critical,LD 2026-1 Pass 3 (StartDate: 27/Jan/2025) Build(#),,,LD 2026-1 Pass 2 (StartDate: 5/Jan/2025) Build(#),,,LD 2026-1 Pass 1 (StartDate: 1/Dec/2025) Build(#),,
,Incomplete,Incomplete,Incomplete,,Major,MS Edge,FireFox,Chrome,MS Edge,FireFox,Chrome,MS Edge,FireFox,Chrome
Testers,Not Tested,Aditya,Not Tested,,"Minor,Cosmetic",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Some problems,Incomplete,In Progress,Incomplete
,,,,,,Not Tested,Aditya,Not Tested,Not Tested,Not Tested,Aditya,Not Tested,Aditya,Not Tested
Feature,SubFeature,Test Case(s),Selenium Test(s),API Test(s),Notes,,,,,,,,,
File Import,"Acceptable/Invalid File types

(Only check basic import with acceptable file formats for smoke testing)",CSV (Basic import + cases between 13-23 whichever applicable),test_csv_import,"test_load_csv

test_register_compounds_via_csv","CSV User Story
TXT ticket",,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,XLS/XLSX (Basic import + cases between 13-23 whichever applicable),test_xls_import_by_id,,Shares same import logic as CSV,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,,test_xls_import_by_smiles,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,SDF (Basic import + cases between 13-23 whichever applicable),test_valid_file_type[livereport_export_sdf.sdf-2-5-1],test_load_compounds_neg_val,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,MAE/MAE.GZ/MAEGZ (Basic import + cases between 13-23 whichever applicable),test_mae_import,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,One inaccurate compound should allow other compounds to get added,,,,,,,,,LDIMPORT-1241: Compound Import: Error in one entity of the CSV file does not allow any entity to get added to the LR. ,,,
,,CSV files containing R groups should get imported ,,,,,,,,,LDIMPORT-1242: Compound import: CSV files containing R groups in some entities are not getting imported. ,,,
,,All other formats import throws Invalid file type error dialog,test_pdf_jpeg_import,,"SS-12807: Invalid file type. Must be sdf, csv (.csv or .txt), Excel (.xls or .xlsx) or Maestro (.mae, .mae.gz or .maegz).",,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,Match Compounds By option,Only available when importing CSV/XLS file,N/A,N/A,,,,,,,OK,,OK,
,,"Identifier column dropdown
- should work with only ID/SMILES data columns
- should not work with any other data columns",N/A,N/A,SS-34107,,,,,,OK,,,
,,ID,test_xls_import_by_id,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,,test_csv_import,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,SMILES,test_csv_import,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,,test_xls_import_by_smiles,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,Properties to Import,Compounds only,test_sdf_import,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Columns only,,,"SS-26351
Columns data gets imported only if structures/ID in the importing file exists/matches with the ones present in the LR",,,,,,OK,,,
,,Both Compounds & Columns,,test_load_comps_and_columns,,,,,,,OK,,,
,Different cases relating to different file format imports,File Imported columns should not show up in D&C Tree,,,,,,,,,OK,,,
,,"Deduplication of identical rows:
- Compounds
- For duplicate rows, column data on both rows should be added against the single compound in the LR",,,,,,,,,OK,,,
,,Importing a file and adding some compounds to the same file and trying to import them should not throw an error.,,,SS-32601,,,,,,OK,,,
,,Real Compounds,,test_load_compound_reals,,,,,,,OK,,,
,,"Virtual Compounds: 
- New compounds not existing in LD registers as virtuals upon import
- If exists in LD, displays it in LR",,test_load_compound_virtuals,,,,,,,OK,,,
,,R-Group - Not supported through MAE,,,Check this ticket comment for details,,,,,,OK,,,
,,Generic Entity,test_import_non_bio_file[mol],,LDIDEAS-5575,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Biologics,,,,,,,,,OK,,,
,,Compounds with S-Groups,,,SS-25821,,,,,,LDIMPORT-1244: File Import: SDF file containing an S group is not getting imported into LiveDesign,,,
,,Import CSV with mutiple assay values for single compound,,,"CSV values when exported in this case will have semi-colon in between the multiple assay values present in intracell alignment. So current behavior when importing CSV showing semicolon is expected.

SS-30136

This ticket has mentioned that during CSV import multiple values like 'abc;def;ghi' won't be added into new seperate lines as they are many edge cases. Marked as ""Won't do""",,,,,,OK,,,
,,Import CSV with assay data with operators included,,,"As eu.user, assay data with operators doesn't display ',' as decimal seperator in some cases.
SS-33326",,,,,,OK,,,
,Partial ID based import,"Importing a CSV/XLS file with both IDs existing and not existing in LD DB should import only structures with existing IDs into LR and skip non-exisitng IDs but display those IDs in the dialog

- Check for new error message displayed on the Import Feedback dialog
- Proper error bacon bar on top",,,"SS-40992
SS-40999",,,,,,LDIMPORT-1247: Compound Import: Partial Match compounds by ID option is not working. ,,,
,File Import Receipt,Successful Import Receipt: ‘Import Completed’ message on bacon bar (Yellow),,,"File Import Receipt Overview: Lucid Chart

SS-37890",,,,,,OK,,,
,,Successful Import Receipt: Bacon bar should disappear after few seconds,,,,,,,,,OK,,,
,,Failed Import Receipt: ‘Errors with file import 'Click to view import errors’ X’ message on Bacon bar (Red),,,"Message changed from ""File Import Failed"" to ""Errors with file import""",,,,,,OK,,,
,,Failed Import Receipt: Bacon bar should not disappear until user clicks on the ‘X’ icon,,,,,,,,,OK,,,
,,Failed Import Receipt: Clicking on ‘Click to view import errors’ should open up an ‘Import Feedback’ dialog with the results,,,,,,,,,OK,,,
,,"Import Feedback Dialog
Header: 'Import Feedback' label
Body:
    - Import Failed with following message: 'The following structures were not imported due to errors in the file, please correct the errors and try again.'
    - Table with three columns ‘ENTRY’; ‘SMILES/ID’; ‘MESSAGE’ (visible based on the error type)
Footer:
    - Download Report (visible based on the error type)
    - Working OK button",,,,,,,,,OK,,LDIMPORT-1219: File Import: Failure to import one entity causes all the entities to not get added to LiveDesign. ,
,,"Import Feedback Dialog
Clicking on 'Download Report' button exports the table into CSV file
- Entry count on the table should match the row count on the import file
- Check the contents of the downloaded report as csv comparing with the actual table",,,Uses Java code,,,,,,OK,,,
,,File Size Error: >200MB throws a generic error dialog with following message: 'The maximum upload file size is 200MB; Upload smaller partitions of the file',,,,,,,,,OK,,,
,,Data Error: Duplicate headers in file throws generic error dialog with following message: 'Duplicate Header column names found - <column_name>',,,,,,,,,OK,,,
,,"Data Error: Blank column headers in file throws generic error dialog with following message: 'The column header in positions [<indexes>] has a blank title, please ensure all columns have a unique title.'",,,,,,,,,OK,,,
,,Data Error: Import with invalid identifier columns,,,LDIDEAS-6719,,,,,,LDIMPORT-1248: Compound Import: Entities trying to get added through the CSV import is not showing appropriate error message. ,,,
,,Data Error: Invalid SDF properties,,,,,,,,,OK,,,
,,"Data Error: Column header with special characters (#, _, etc.,)",,,,,,,,,LDIMPORT-1249: Compound Import: CSV file containing a Column header with special characters is not throwing up an error. ,,,
,,Data Error: Long header names,,,,,,,,,LDIMPORT-1085: Compound Import: CSV files with long headers are getting import without throwing an error. ,,,
,,ID Error: Missing IDs in the file - 'ID missing for the compound',,,,,,,,,OK,,,
,,ID Error: Spaced IDs/Non-existing IDs - 'ID does not exist in LiveDesign database',,,,,,,,,LDIMPORT-1247: Compound Import: Partial Match compounds by ID option is not working. ,,,
,,ID Error: Long IDs - three elipses at the end of the ID on the table (overflow-wrap),,,SS-39403,,,,,,LDIMPORT-1247: Compound Import: Partial Match compounds by ID option is not working. ,,,
,,ID Error: GE IDs - Generic Error dialog with error 'ID not existing',,,SS-39822,,,,,,LDIMPORT-1247: Compound Import: Partial Match compounds by ID option is not working. ,,,
,,"Timeout Error: 300 seconds limit. Post that throws a generic dialog with following message: 
'Import timed out.
Try again or upload smaller partitions of the file'",,,SS-39707,,,,,,OK,,,
,,Structural Error: MAE failure - Generic error dialog with following message 'Unable to Import Maestro Data',,,,,,,,,LDIMPORT-1237: Compound import with metadata wont work when TE pod is down,,,
,,"Structural Error: 
Errors known from core suites: (Testing any one of the below except top 2 should be okay)
- Modified/Invalid Atom: 'Structure could not be standardized'
- Missing SMILES: 'SMILES missing for the compound'
- Atoms Size (Requires pre-preocessor change): '<import_atom_size> atoms present; exceeds <FF_set_size> atom limit'
- Query bond: 'Bond Query Feature Found'
- Variable attachment bond: 'Variable Attachment bond found'
- R-group atom: 'Atom with R Label found'
- Any query atom: 'Atom Query feature found'
- No atoms (SDF with GE row): 'No atoms present'
- kekulize 'c1ccnc1': 'Can't kekulize mol. Unkekulized atoms: <atom_numbers>'",,,Try also testing with different type of structures known to trigger error from core suites,,,,,,OK,,,
,,"Structural Error: SDF - Generic error dialog displaying the log from BE log file
- Invalid Atom 
- Invalid SDF properties",,,SS-39853,,,,,,OK,,,
